Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
ESP32 dev board,Firmware crash / watchdog reset,Brief interruption; WDT auto-resets within seconds; NC solenoids close safe; data gap visible in history,3,Memory leak; stack overflow; sensor library hang; MQTT callback exception,4,Internal WDT auto-resets; NC solenoids fail-safe closed; data gap visible in history,3,36,No additional action required beyond existing controls,None,36
AO3401 MOSFET (sensor VCC reverse polarity protection),Open circuit,Sensor loses VCC supply; sensor hard-fails; detected by sensor_ok flag and alert fires,5,Overcurrent; ESD; soldering defect; physical damage to SOT-23 package,2,sensor_ok flag catches hard sensor failure downstream,3,30,No additional action required beyond existing controls,None,30
Wiring and connectors (all external),I2C bus lockup (one device pulls SDA low — both shared sensors affected),Both BH1750 and MLX90614 fail simultaneously; sensor_ok catches both; ESP32 I2C timeout recovery runs,5,Failing device holding SDA low; capacitance on long cable run; moisture ingress into connector,3,sensor_ok catches both failures simultaneously; ESP32 I2C timeout recovery,2,30,I2C bus isolator (PCA9517) or per-device power cycling via AO3401; pull-up resistor values reviewed for cable length,None,30
MicroSD card module + card,Card failure / ejected / not present,Local data logging stops; server DB remains primary; startup presence check logged to serial,3,Physical ejection; card wear-out; power cycle during write; poor contact,4,Startup presence check logged to serial,4,48,No additional action required — Nerves Pi makes on-ESP32 SD less critical,Minor (Pi takes over local storage role),18
BH1750/GY-302 (light sensor I2C shared),Hard failure (no I2C response),Lux data unavailable; lux not used in watering decisions; sensor_ok flag raised,4,Physical damage; I2C address conflict; power loss; wiring fault,3,sensor_ok flag,2,24,No additional action required beyond existing controls,None,24
MLX90614/GY-906 BAA (leaf IR temp shared),Hard failure (no I2C response),Leaf temp unavailable; sensor_ok flag raised; alert fires,4,Physical damage; I2C address conflict; power loss; wiring fault,3,sensor_ok flag,2,24,No additional action required beyond existing controls,None,24
AO3401 MOSFET (sensor VCC reverse polarity protection),Short circuit (gate-source),Sensor VCC permanently on — intended normal state; no operational impact,1,Manufacturing defect; overvoltage transient on gate,2,Gate is tied to GND by design; short to GND on gate is the normal biasing condition,10,20,No action required — failure mode results in normal operating state,None,20
DC-DC buck converter (LM2596),Output too high (over-voltage),Over-voltage on 5V rail damages ESP32; relay module; sensors; potentially all hardware on the ESP32,9,Adjustable module pot drifts; component failure; incorrect initial setting,1,None,9,81,TVS diode on 5V rail; use fixed-output (non-adjustable) 5V modules; verify output with multimeter during commissioning,None,81

,,,,,,,,,,,
NOTE — Dual sensor implementation (firmware v5.0),Adds ADS1115 secondary moisture sensors and second DHT22 per ESP32. Cross-comparison drops Detection from 8-9 to 2 for drift/stuck failures. Three previously highest-RPN hardware items drop from 270-324 to 60-80.,,,,,,,,,,
,,,,,,,,,,,
TOP RISKS SUMMARY — RPN >= 150,,,,,,,,,,,
Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
MLX90614/GY-906 BAA (leaf IR temp shared),Incorrect readings (FOV too wide / emissivity mismatch),Leaf temp inaccurate — plant stress not detected; if used in future watering logic it will cause errors,5,Wide FOV captures background; emissivity not set for vegetation; wrong variant (non-BAA),6,None,8,240,Validate leaf temp vs air temp during commissioning; narrow FOV baffle; confirm BAA variant used,None (hardware accuracy is unchanged),240
Wiring and connectors (all external),Connector corrosion / high-resistance joint,Intermittent power or signal faults on any connected component; difficult to diagnose remotely,6,Outdoor environment; humidity; no weatherproofing on bare connectors; no annual inspection,5,None,8,240,Weatherproof connectors; silicone sealant; conformal coat PCBs; annual inspection,None (hardware failure is unchanged),240
Solenoid valve (normally closed 5V),Mechanical failure open (stuck open regardless of relay/power state),Zone continuously waters — root rot; water waste; not caught by NC fail-safe (power-on mechanical failure),10,Debris in valve seat; diaphragm failure; physical damage,2,NC selection handles power-loss case only; mechanical stuck-open bypasses all controls,10,200,Inline manual shutoff per zone; flow sensor (future); periodic physical inspection,None,200
Solenoid valve (normally closed 5V),Slow internal leak through closed valve,Gradual overwatering undetected — no alert; accumulates over days or weeks,5,Worn diaphragm/seat; particulates; valve age,4,None,9,180,Trend alert if moisture rises without watering event (ML layer),Minor (Pi ML layer could detect moisture rise trend more reliably),160
Power supply (12V DC adapter or battery),Complete failure (no output),Total site loss — ESP32 offline; all zones offline; valves fail-safe closed (NC); zone offline alert fires after 30 min,7,Wall adapter failure; battery depletion; blown fuse; mains outage,3,NC solenoids fail safe; zone offline alert fires after 30 min,7,147,Voltage monitoring on ESP32 ADC; UPS/battery backup,None,147

,,,,,,,,,,,
SITE INFRASTRUCTURE / UTILITY FAILURES,,,,,,,,,,,
Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
Mains power supply (site),Wide supply voltage variation (confirmed 205–275VAC at site),Consumer-grade adapters rated 220–240V operate outside spec at 275V — PSU failure; over-voltage on 12V output; downstream hardware damage. At 205V output may sag and cause instability. Standard 90–264VAC wide-input PSUs are marginal at 275V.,8,Known site condition — measured 205–275VAC variation during the day; likely long LV feeder or poor local grid regulation,8,None — no voltage monitoring; standard consumer adapters specified,8,512,Mandatory — use industrial wide-input PSU rated 85–305VAC (e.g. Meanwell HDR-15-12 DIN rail); add Type 2 SPD (surge protection device) on mains input before PSU; verify PSU output voltage under both 205V and 275V input conditions; do NOT use consumer wall adapters at this site,None (hardware design issue),512
Irrigation water supply,Hard water — high calcium/mineral content causing scale and blockage,Calcium carbonate scale builds up in drip emitters; solenoid valve seats; moisture sensor faces; pipework. Emitters block progressively — dripper_fault fires repeatedly. Valve seats scale closed — valve fails to open. Sensor face coated — moisture readings drift low.,7,Confirmed site condition — hard water supply with high calcium and mineral content,8,dripper_fault detects no moisture rise after watering (catches emitter blockage and valve failure downstream); moisture sensor bounds check catches severe drift,5,280,Mandatory for this site — inline sediment filter + descaler or softener on supply before irrigation system; use emitters rated for hard water (pressure-compensating; self-flushing); periodic acid flush of drip lines (citric acid); alert on consecutive dripper_fault events per zone as early indicator of scale buildup; schedule sensor cleaning every 3 months,None (water chemistry issue),280
Mains power supply (site),Complete power loss,All site electronics dead; ESP32s offline; valves fail-safe closed (NC); zone offline alert fires after 30 min,8,Grid outage; blown MCB/fuse; accidental disconnect; storm damage,3,NC solenoids fail safe; zone offline alert after 30 min,7,168,UPS or battery backup at site; voltage monitoring on ESP32 ADC to detect pre-shutdown,None (hardware limitation),168
Irrigation water supply,Fertiliser over-concentration (fertigation),Excess EC damages plant roots; plants stress or die; no system detection,8,Dosing pump failure; manual error; evaporation concentrating tank; fertigation tank runs dry,2,None — no EC or water quality monitoring,9,144,EC sensor on irrigation outlet; visual check before watering events; ML layer anomaly detection on plant stress patterns,None,144
Irrigation line,Drip emitter blockage (partial or complete),Valve opens; no water reaches roots; dripper_fault fires after repeated failed watering events; plants dry out,7,Sediment; fertiliser precipitate; algae; root intrusion; filter bypass,5,dripper_fault detects no moisture rise after watering,4,140,Inline filter per zone feed; periodic flushing protocol; alert on consecutive dripper_fault events for same zone,None,140
Irrigation water supply,Water quality / chemical contamination,pH or chemical contamination damages plants; no system detection; damage seen only after plants affected,7,Mains supply event; algae bloom in tank; cross-contamination; pH crash,2,None,10,140,pH and EC sensors on supply line (future hardware); visual inspection of water source,None,140
Irrigation water supply,Complete water supply loss,Valves open normally; no water delivered; plants receive nothing; dripper_fault detects after one full cycle,9,Mains interrupted; isolation valve closed; supply pipe failure; pump failure (tank system),2,dripper_fault detects no moisture rise after watering — one cycle delay before detection,7,126,Flow sensor on main supply per site; alert if watering events fire but moisture consistently fails to rise,Minor (faster local alert on comms loss; still needs flow sensor for detection),112
Irrigation water supply,Low water pressure (partial flow),Valves open; insufficient flow for proper drip delivery; moisture may rise slowly or not at all,7,Multiple zones simultaneously open; supply pressure drop; partially blocked mainline; pump undersized,3,dripper_fault may partially detect via low moisture rise vs dripper_baseline; no pressure monitoring,6,126,Pressure regulator at site; stagger zone watering (no simultaneous open valves); flow sensor; pressure sensor on mainline,None,126
Outdoor environment,Heat / UV damage to electronics,ESP32 overheating causes reboots or sensor drift; enclosure UV degradation; accelerated component wear,6,Direct sun on enclosure; Australian summer temperatures; dark enclosure colour; no ventilation,3,air_temp monitored but not used to protect electronics; ESP32 WDT restarts on crash,5,90,UV-rated ventilated enclosure; mount in shade; alert if air_temp > 45C; white or reflective enclosure colour,None,90
Outdoor environment,Animal or pest interference (rodents / insects / birds),Cables chewed; sensors damaged; shorts or moisture ingress via unsealed enclosure entry points,6,Outdoor exposure; unprotected cable runs; unsealed enclosure gland entries,3,Downstream effects detected by sensor_ok or dripper_fault after failure occurs,5,90,Cable conduit or armoured cable; weatherproof gland entries; rodent-proof enclosure; periodic site inspection,None,90
Mains power supply (site),Brown-out / voltage sag,Unstable ESP32 operation; relay chatter; sporadic reboots; intermittent sensor errors; difficult to diagnose remotely,5,High local loads; grid instability; undersized supply cabling to site,2,None,7,70,UPS with AVR (automatic voltage regulation); monitor ESP32 reboot frequency as indirect indicator,None,70
Outdoor environment,Freezing conditions (frost),Water in exposed lines and valve bodies freezes; pipes burst or valve bodies crack; system inoperable on thaw,8,Below 0C ambient; exposed pipework; no freeze protection logic implemented,2,air_temp monitored via DHT22 — sub-zero temperatures detectable; no freeze-protection logic exists; Freeze protection implemented in zone_server.ex — alert fires at <=2C; stop command sent; watering suspended until temp rises above 4C,2,32,Freeze alert when air_temp < 2C; auto-close all valves and suspend watering when frost predicted; insulate exposed pipework,Significant — freeze protection now implemented in software: alert fires at <=2C; stop command sent to all valves; watering suspended until >4C; Nerves Pi can trigger this independently of central server,16
Outdoor environment,Lightning strike or power surge,Multiple simultaneous hardware failures across site; entire ESP32 board or power supply destroyed,10,Direct or nearby lightning strike; overhead power line induction; no surge protection specified,1,None,2,20,Surge protector on mains input; MOV/TVS diodes on data lines; metal enclosures earthed; equipment insurance,None,20

,,,,,,,,,,,
SITE INFRASTRUCTURE RISKS SUMMARY — RPN >= 100,,,,,,,,,,,
NOTE — Wide supply voltage variation (RPN 512) is the highest-risk item in the entire FMEA. It is a confirmed site condition and must be resolved before any hardware is deployed at this site.,,,,,,,,,,
Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
Mains power supply (site),Wide supply voltage variation (confirmed 205–275VAC at site),Consumer-grade adapters rated 220–240V operate outside spec at 275V — PSU failure; over-voltage on 12V output; downstream hardware damage. At 205V output may sag and cause instability. Standard 90–264VAC wide-input PSUs are marginal at 275V.,8,Known site condition — measured 205–275VAC variation during the day; likely long LV feeder or poor local grid regulation,8,None — no voltage monitoring; standard consumer adapters specified,8,512,Mandatory — use industrial wide-input PSU rated 85–305VAC (e.g. Meanwell HDR-15-12 DIN rail); add Type 2 SPD (surge protection device) on mains input before PSU; verify PSU output voltage under both 205V and 275V input conditions; do NOT use consumer wall adapters at this site,None (hardware design issue),512
Irrigation water supply,Hard water — high calcium/mineral content causing scale and blockage,Calcium carbonate scale builds up in drip emitters; solenoid valve seats; moisture sensor faces; pipework. Emitters block progressively — dripper_fault fires repeatedly. Valve seats scale closed — valve fails to open. Sensor face coated — moisture readings drift low.,7,Confirmed site condition — hard water supply with high calcium and mineral content,8,dripper_fault detects no moisture rise after watering (catches emitter blockage and valve failure downstream); moisture sensor bounds check catches severe drift,5,280,Mandatory for this site — inline sediment filter + descaler or softener on supply before irrigation system; use emitters rated for hard water (pressure-compensating; self-flushing); periodic acid flush of drip lines (citric acid); alert on consecutive dripper_fault events per zone as early indicator of scale buildup; schedule sensor cleaning every 3 months,None (water chemistry issue),280
Mains power supply (site),Complete power loss,All site electronics dead; ESP32s offline; valves fail-safe closed (NC); zone offline alert fires after 30 min,8,Grid outage; blown MCB/fuse; accidental disconnect; storm damage,3,NC solenoids fail safe; zone offline alert after 30 min,7,168,UPS or battery backup at site; voltage monitoring on ESP32 ADC to detect pre-shutdown,None (hardware limitation),168
Irrigation water supply,Fertiliser over-concentration (fertigation),Excess EC damages plant roots; plants stress or die; no system detection,8,Dosing pump failure; manual error; evaporation concentrating tank; fertigation tank runs dry,2,None — no EC or water quality monitoring,9,144,EC sensor on irrigation outlet; visual check before watering events; ML layer anomaly detection on plant stress patterns,None,144
Irrigation line,Drip emitter blockage (partial or complete),Valve opens; no water reaches roots; dripper_fault fires after repeated failed watering events; plants dry out,7,Sediment; fertiliser precipitate; algae; root intrusion; filter bypass,5,dripper_fault detects no moisture rise after watering,4,140,Inline filter per zone feed; periodic flushing protocol; alert on consecutive dripper_fault events for same zone,None,140
Irrigation water supply,Water quality / chemical contamination,pH or chemical contamination damages plants; no system detection; damage seen only after plants affected,7,Mains supply event; algae bloom in tank; cross-contamination; pH crash,2,None,10,140,pH and EC sensors on supply line (future hardware); visual inspection of water source,None,140
Irrigation water supply,Complete water supply loss,Valves open normally; no water delivered; plants receive nothing; dripper_fault detects after one full cycle,9,Mains interrupted; isolation valve closed; supply pipe failure; pump failure (tank system),2,dripper_fault detects no moisture rise after watering — one cycle delay before detection,7,126,Flow sensor on main supply per site; alert if watering events fire but moisture consistently fails to rise,Minor (faster local alert on comms loss; still needs flow sensor for detection),112
Irrigation water supply,Low water pressure (partial flow),Valves open; insufficient flow for proper drip delivery; moisture may rise slowly or not at all,7,Multiple zones simultaneously open; supply pressure drop; partially blocked mainline; pump undersized,3,dripper_fault may partially detect via low moisture rise vs dripper_baseline; no pressure monitoring,6,126,Pressure regulator at site; stagger zone watering (no simultaneous open valves); flow sensor; pressure sensor on mainline,None,126
